"filename", "language", "CSV", "comment", "blank", "total"
"/home/cytrus/Documents/NNCBF/NCBCV/runtime.csv", "CSV", 9, 0, 0, 9
"/home/cytrus/Documents/NNCBF/NCBCV/s_search_debug.csv", "CSV", 20, 0, 0, 20
"Total", "-", 29, 0, 0, 29
